id_abonne;indice_client;nom_abonne;prenom_abonne;telephone;email;type_piece_identite;num_piece_identite;statut;identifiant
46decf02-2b57-478a-84bb-8c5a2f7d2c46;pour que;foule débile;fêter pendre étudier;0318330175;Reybaud_Dupuy89@yahoo.fr;CNI;administration;SUSPENDU;géométrique
e324e9a5-1d38-4f5b-b3f7-aae43d6bd59c;affable;de façon que;avant;+33 132623307;Laurent.Martin68@hotmail.fr;CNI;comprendre;DESACTIVE;commis
6ac12402-dbe8-4b46-bf45-5f18556649c9;tendre amorphe conseil municipal;gêner;adepte;0736814383;Eric.Gerard@hotmail.fr;PASSEPORT;parmi magenta;EN_COURS_ACTIVATION;âcre
f3f9ff97-9a08-40a5-b517-6483edbcfd0d;de sorte que;sans doute boum;quoique turquoise;0233364029;Parfait83@yahoo.fr;CNI;incalculable suivant conseil municipal;SUSPENDU;proche de souvent
2925774a-0530-41dc-be21-b9b908520650;de peur que;afin que lâche gestionnaire;de façon à;+33 705444699;Martin.Dasilva94@hotmail.fr;PASSEPORT;quoique chasser;BLOQUE;coac coac aïe
ea9beafc-609a-4e19-9fa3-1a3cc0d6fc28;avare au prix de;songer aspirer;respirer;0524658492;Miriam85@gmail.com;PASSEPORT;altruiste;SUSPENDU;un peu police
07ed451b-8714-4b19-8c69-56c5dba5899e;collègue offrir;de peur de chez tantôt;ensuite touchant;+33 720846551;Martin29@hotmail.fr;CNI;extatique par rapport à présidence;BLOQUE;secours chez dans la mesure où
542f6244-05e7-42c1-8ed0-1b033925bfdc;même si;afin que;au cas où avant;0185120921;Cyprien_Leclerc85@yahoo.fr;PASSEPORT;calme athlète;DESACTIVE;lâche pff
5ef82ff7-2b5b-46e9-a54b-07d1788765fa;aimable;semer membre titulaire;sans miaou;0519057686;Augustine.Lefebvre72@gmail.com;CNI;adepte éteindre;DESACTIVE;chef de cuisine
12faa70b-58a0-4bd3-9981-cdfb754c454a;auprès de;camarade guide sous;chef hors de au-dessous de;0739409904;Emerencie.Roux25@hotmail.fr;CNI;croâ mature;BLOQUE;âcre dehors outre
