id_client;indice_client;nom_client;prenom_client;raison_sociale;telephone;email
1ddbfcee-0039-4472-8486-676a4328cc4c;ficher;alors que devoir;sur;cot cot deçà croiser;+33 379307567;Gabrielle12@yahoo.fr
2303d29f-ad25-442a-8e57-0dcfa203b003;groin groin;à même précisément;mieux ronron;actionnaire glouglou;+33 781810969;Chloe66@hotmail.fr
a9744f06-9f04-4e49-af9a-74028a9342d7;si bien que gens;rectorat;plouf tandis que étant donné que;fort où oui;+33 434784178;Flavien69@yahoo.fr
d4a6f446-ab84-4396-ad7f-705f217b4be5;innombrable tôt de façon à;dégager bien que;membre à vie dans conseil municipal;tenir euh;0280867821;Childebert_Gaillard55@gmail.com
a061377c-3ec7-42ea-af3a-06f51faee027;crac par;quant à euh si bien que;à seule fin de séculaire;peut-être blablabla;0703491348;Pierrick_Jacquet30@yahoo.fr
b2812ab3-a5a9-4ee7-8166-2f21d49702fd;inspecter moyennant;à l'égard de;blablabla extatique clientèle;population du Québec spécialiste émérite;+33 444277807;Agrippin.Guillaume@gmail.com
fe4b7936-c223-4f1c-9640-e7822ad58c50;sous couleur de loufoque;concernant d’autant que;frapper autrement coin-coin;ah;+33 411449591;Rodolphe.Marie@yahoo.fr
a65a8cd4-a9e6-4bbb-a5ec-4688a0f2bcac;ha;rater au lieu de bondir;suffire causer entre;respirer aimable;+33 108370031;Gustave84@yahoo.fr
5b1d2176-8e48-4f6a-a671-772c355f0d90;crac;bzzz magenta lectorat;également réunir exploser;à l'exception de;+33 501736967;Oury_Dumas@yahoo.fr
09e48098-7cdd-43b7-aaa1-988017aeb5f8;bang touchant;quasiment ennuyer pschitt;fusiller passager aïe;trop partenaire;0330957502;Irene_Duval76@gmail.com
