id_compte_bancaire;age;ncp;sde;sin;solde_disponible;rib;status
554ba790-0e7a-4854-81df-0124ee3afa33;tsoin-tsoin;fonctionnaire;calmer pourvu que de peur que;ha ha;blesser rédaction;meuh;INACTIF
62f72b61-8496-4404-ba95-49b8c9943cbb;pourvu que population du Québec géométrique;nonobstant;vlan;sitôt;tandis que pourvoir;fade trouver pschitt;SUSPENDU
59eaf9ad-fbcf-468d-9298-b11041ff6525;moyennant parlementaire drelin;proche;jeune rester au-delà;même si sans que;commis de cuisine;égoïste assez jusqu’à ce que;INACTIF
33d6cd85-f7f3-42da-ae1f-ed7658544f29;afficher cocorico;par à raison de à partir de;tic-tac pauvre assurément;touriste;ronron;afin de bè;ACTIF
c0ec2a3e-5a12-41a0-8f86-6c8bfe09125f;prout splendide tout à fait;dans smack entre-temps;dès que;du moment que;hé;ensuite;ACTIF
c2b294de-3a63-4bef-a4a4-01de4944c658;confirmer gens circuler;au dépens de dense parvenir;fade électorat;cot cot sauf à coin-coin;vu que;franco dessus;ACTIF
f2d2703b-21c3-4d33-b717-017df7a5c8ba;assez à moins de également;obéir aux environs de;derrière;réaliser souple;juriste amorcer;rectorat au cas où;ACTIF
96f38c2f-8a74-4e89-8d01-5b3b442eacbf;délégation;agréable;prier équipe;comme à demi juriste;sur totalement;totalement efficace;ACTIF
49ca40e1-7473-4b4d-bd10-35a0732455e1;infiniment autant;entraîner juriste;mince étendre auparavant;souple pourpre;placer;siffler au-dedans de;INACTIF
a9f45224-9ba2-4cbd-88a1-5e74ce1173ea;appeler de;de manière à ce que assez joliment;bè exciter;en guise de;marcher afin que;spécialiste de façon à ce que présidence;SUSPENDU
